PIPELINE_ID,APP_ID,FREQUENCY,ANNUALIZED_FREQUENCY,USER ID,EMAIL
1234567890123456,,1,4,12345678.abcd,john.doe@email.com
1234567890123456,,1,4,14785236.a2wz,ana.horvat@gmail.com
2345678901234567,,1,4,85204506.lj9g,jane.doe@email.com
6543210987654321,,2,8,12345678.abcd,john.doe@email.com
7654321098765432,,1,4,12345678.abcd,john.doe@email.com
9638527410963852,abcdefghi,2,8,96385274.qwer,karen.small@email.com
9638527410963852,jklmnopqr,1,4,98765432.poiu,kevin.tall@gmail.com
,bp53ca8d3,3,12,12345678.abcd,john.doe@email.com
,br7y527da,1,4,12345678.abcd,john.doe@email.com
,bp53ca8d3,2,8,14785236.a2wz,ana.horvat@gmail.com
,bp53ca8d3,4,16,15903575.jfg2,jan.jansen@email.com
,bpqhu6hqy,1,4,15903575.jfg2,jan.jansen@email.com
,bp53ca8d3,5,20,23456789.efgh,john.Smith@gmail.com
,br7y527da,1,4,23456789.efgh,john.Smith@gmail.com
,btjbjkrea,1,4,23456789.efgh,john.Smith@gmail.com
,bp53ca8d3,2,8,85204506.lj9g,jane.doe@email.com
,bpqhu6hqy,1,4,85204506.lj9g,jane.doe@email.com
,btjbjkrea,1,4,85204506.lj9g,jane.doe@email.com
